idnumber,smiles,smiles_desalted,hac,mw,alogp,hba,hbd,psa,rotb,arom,alerts
HMDB0015465,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,25,361.82500000000005,3.554500000000001,4,2,75.63,7,2,0
HMDB0015471,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,19,258.229,2.309600000000001,5,2,83.83000000000001,3,2,2
HMDB0015485,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,27,410.4330000000001,-0.0481999999999998,9,4,162.92,6,1,2
HMDB0015491,O=[N+]([O-])c1ccc(O)c2ncccc12,O=[N+]([O-])c1ccc(O)c2ncccc12,14,190.158,1.8485999999999996,4,1,76.26,1,2,2
HMDB0015494,C=CC[NH+]1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,C=CC[NH+]1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,23,316.3850000000001,-0.07039999999999869,4,3,84.34,6,2,1
HMDB0015497,COc1ccc(C(=O)c2ccccc2)c(O)c1,COc1ccc(C(=O)c2ccccc2)c(O)c1,17,228.247,2.631800000000001,3,1,46.53,3,2,1
HMDB0015505,CCC1(c2ccccc2)CCC(=O)NC1=O,CCC1(c2ccccc2)CCC(=O)NC1=O,16,217.26799999999992,1.771,2,1,46.17,2,1,1
HMDB0015506,Nc1ccc(N=Nc2ccccc2)c(N)n1,Nc1ccc(N=Nc2ccccc2)c(N)n1,16,213.24400000000003,2.6613999999999995,3,2,89.64999999999999,2,2,1
HMDB0015511,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,19,316.15799999999996,2.6336000000000004,2,1,54.35,1,2,0
HMDB0015521,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,18,264.31,1.16802,5,2,97.97,3,2,1
HMDB0015522,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,19,278.337,1.4764399999999998,5,2,97.97,3,2,1
HMDB0015534,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,21,281.27099999999996,2.3842999999999996,3,1,84.6,2,2,2
HMDB0015538,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,18,260.31399999999996,3.167200000000001,3,1,54.37,4,2,1
HMDB0015542,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C([NH3+])c3ccccc3)C2SC1(C)C,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(NC(=O)C([NH3+])c3ccccc3)C2SC1(C)C,32,464.56400000000014,0.6067000000000029,7,2,129.64999999999998,6,1,3
HMDB0015547,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,28,373.3680000000001,3.710700000000001,6,3,108.47,4,4,0
HMDB0015557,C[NH+](C)CCC(c1ccccc1)c1ccccn1,C[NH+](C)CCC(c1ccccc1)c1ccccn1,18,241.35800000000003,1.7481,1,1,17.330000000000002,5,2,0
HMDB0015558,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCC[NH+]1CCC(CCO)CC1)c1ccccc1S2,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCC[NH+]1CCC(CCO)CC1)c1ccccc1S2,32,476.68800000000033,2.607000000000001,5,2,65.29,8,2,0
HMDB0015573,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,20,282.221,3.542200000000001,4,2,62.22,3,2,0
HMDB0015575,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,17,228.24699999999996,3.4644600000000025,3,0,43.35,0,3,1
HMDB0015586,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,20,276.37600000000003,3.4780000000000024,3,1,46.53,3,1,1
HMDB0015594,OC(C[NH2+]CC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,OC(C[NH2+]CC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,29,406.4490000000001,1.3374000000000006,4,3,75.53000000000002,6,2,0
HMDB0015602,CCN(CC)C(=O)C1(c2ccccc2)CC1C[NH3+],CCN(CC)C(=O)C1(c2ccccc2)CC1C[NH3+],18,247.362,1.0545999999999998,1,1,47.95,5,1,0
HMDB0015608,CCc1cc2c(cc1CC)CC([NH2+]CC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,CCc1cc2c(cc1CC)CC([NH2+]CC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2,29,393.5070000000001,2.122699999999999,3,4,89.93,6,3,0
HMDB0015614,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,CC(C)C(=O)c1c(C(C)C)nn2ccccc12,17,230.311,3.296400000000002,2,0,34.370000000000005,3,2,1
HMDB0015631,CC1C[NH+](CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,CC1C[NH+](CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,31,425.5490000000002,1.6343000000000005,4,4,91.07000000000001,8,2,0
HMDB0015636,COc1ccc2cccc(CCNC(C)=O)c2c1,COc1ccc2cccc(CCNC(C)=O)c2c1,18,243.30599999999995,2.527,2,1,38.33,4,2,0
HMDB0015637,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,33,442.54300000000023,2.6124799999999997,4,3,103.49000000000001,7,4,1
HMDB0015667,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,22,314.37000000000006,2.2553,4,2,90.00999999999999,4,3,1
HMDB0015678,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,19,254.289,1.5276,3,2,86.18,4,2,2
